id,modelId,benchmarkId,sourceId,score,scoreUnit,provenance,se,nItems,kSamples,benchmarkVersion,graderVersion,evaluationRunId,lineageId,originProvenance,hostSource,protocolId,versionInferred,metadataIncomplete,xCorrect,kTrials,perTaskCounts,uncertaintyType,uncertaintyValue,uncertaintyUnit,nRuns,runValues,costPerTask,latencyS,config,configHash,observationKey,harness,harnessClass,effortTier,toolPolicy,observedOn,url,metadata,supersededBy,createdAt
502f0897-9e0a-4992-babf-f1b28fb69593,deepseek-v4-flash-0731,livebench-2026,livebench,74.170784,percent,independent,,,,2026-06-25,,2026-06-25:deepseek-v4-flash-0731,livebench:2026-06-25:deepseek-v4-flash-0731,independent,livebench,,false,true,,,,,,,,,,,"{""aci_fit_eligible"":false,""source_model_configuration"":""deepseek-v4-flash-0731""}",c53b741aaa54664f65d33c4b6431e1d3b5922923db8d2ab356773c65fa97210a,6519206aecd7e40d35a7350ecd74d2ef230c4aa1d7ae4e0952e323903b223134,LiveBench category-specific evaluation,common,,,2026-09-05,https://livebench.ai/table_2026_06_25.csv,"{""table_sha256"":""f23992acb9c01d4904b8cb2c5714a0e9ab15694e9ee0cdc4a2b525167033ba87"",""observed_only"":true,""categories_url"":""https://livebench.ai/categories_2026_06_25.json"",""category_means"":{""IF"":65.51675,""Coding"":74.9845,""Language"":79.175,""Reasoning"":86.6345,""Mathematics"":86.78975,""Data Analysis"":79.32733333333333,""Agentic Coding"":46.76766666666666},""coverage_audit"":""2026-09-05-livebench"",""source_lineage"":{""copied"":false,""match_policy"":""unique compatible origin observation"",""origin_source_id"":""livebench""},""displayed_score"":74.17,""source_model_id"":""deepseek-v4-flash-0731"",""exclusion_reason"":""Heterogeneous category composite with partial-credit metrics and different tool policies. No binary denominator, repeat count, or sampling uncertainty inferred."",""score_definition"":""Arithmetic mean of seven category means (or the exact categories in the pinned release); each category is the unweighted mean of its subtasks."",""categories_sha256"":""dad300ad18655b69db720e1b88fc5a5eac06c5b2f0e52c2bf50f10ff057674f3"",""audit_candidate_id"":""livebench-8b26e9b99e662dab5e46"",""source_subtask_scores"":{""typos"":82,""python"":50,""spatial"":90,""olympiad"":89.081,""simplify"":58.367,""AMPS_Hard"":97,""math_comp"":96.078,""summarize"":71.5,""tablejoin"":48.538,""javascript"":63.636,""paraphrase"":61.7,""typescript"":26.667,""connections"":97.333,""zebra_puzzle"":100,""tablereformat"":100,""theory_of_mind"":86.538,""code_completion"":73.913,""code_generation"":76.056,""story_generation"":70.5,""plot_unscrambling"":58.192,""consecutive_events"":89.444,""integrals_with_game"":65,""logic_with_navigation"":70},""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""evidence_urls"":[""https://livebench.ai/table_2026_06_25.csv""],""applied_fields"":[],""protocol_status"":""missing"",""exclusion_reason"":""No source protocol or exact row rule resolves this observation's effort tier.""}}",,2026-09-05T17:44:52.717Z
01013bba-a76a-443c-aa6b-0e6a65c4aa20,muse-spark-1.3,livebench-2026,livebench,81.588646,percent,independent,,,,2026-06-25,,2026-06-25:muse-spark-1.3-xhigh,livebench:2026-06-25:muse-spark-1.3-xhigh,independent,livebench,,false,true,,,,,,,,,,,"{""aci_fit_eligible"":false,""reasoning_effort"":""xhigh"",""source_model_configuration"":""muse-spark-1.3-xhigh""}",846284b059d882cb04faa67faa71ca2fcbe3aea42d80b4e4127db91456f23099,9769c5e0a373fb892226be4b11521a36119cd3f6e4fed7f44170f48480bba7be,LiveBench category-specific evaluation,common,xhigh,,2026-09-05,https://livebench.ai/table_2026_06_25.csv,"{""table_sha256"":""f23992acb9c01d4904b8cb2c5714a0e9ab15694e9ee0cdc4a2b525167033ba87"",""observed_only"":true,""categories_url"":""https://livebench.ai/categories_2026_06_25.json"",""category_means"":{""IF"":78.00425000000001,""Coding"":81.0625,""Language"":82.79366666666667,""Reasoning"":89.65375,""Mathematics"":95.94999999999999,""Data Analysis"":79.56533333333333,""Agentic Coding"":64.091},""coverage_audit"":""2026-09-05-livebench"",""source_lineage"":{""copied"":false,""match_policy"":""unique compatible origin observation"",""origin_source_id"":""livebench""},""displayed_score"":81.59,""source_model_id"":""muse-spark-1.3-xhigh"",""exclusion_reason"":""Heterogeneous category composite with partial-credit metrics and different tool policies. No binary denominator, repeat count, or sampling uncertainty inferred."",""score_definition"":""Arithmetic mean of seven category means (or the exact categories in the pinned release); each category is the unweighted mean of its subtasks."",""categories_sha256"":""dad300ad18655b69db720e1b88fc5a5eac06c5b2f0e52c2bf50f10ff057674f3"",""audit_candidate_id"":""livebench-263810cabd156842263e"",""source_subtask_scores"":{""typos"":86,""python"":55,""spatial"":100,""olympiad"":91.741,""simplify"":72.517,""AMPS_Hard"":99,""math_comp"":97.059,""summarize"":83.4,""tablejoin"":48.192,""javascript"":77.273,""paraphrase"":78.617,""typescript"":60,""connections"":94,""zebra_puzzle"":98,""tablereformat"":100,""theory_of_mind"":84.615,""code_completion"":80.435,""code_generation"":81.69,""story_generation"":77.483,""plot_unscrambling"":68.381,""consecutive_events"":90.504,""integrals_with_game"":96,""logic_with_navigation"":76},""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""evidence_urls"":[""https://livebench.ai/table_2026_06_25.csv""],""applied_fields"":[],""protocol_status"":""missing""}}",,2026-09-05T17:44:52.717Z
ad6d015f-5337-4d9d-ba73-8bca31783496,claude-opus-5,osworld-2.0,osworld,31.43,percent,independent,,,,osworld-v2-2026.08.08,v2026.08.08 release plus osworld-v2-2026.08.08 manifest,v2026.08.08:full:Claude Opus 5:max:batch tool:500,osworld:8f6a0b5cb67b77099f5750c1a794838312c287eb13caca4e44dc3e6a321dc1e2,independent,osworld,,false,true,,,,,,,7,,,,"{""scoring"":""binaryAccuracy"",""step_budget"":500,""tool_setting"":""batch tool"",""dataset_scope"":""full"",""release_version"":""v2026.08.08"",""aci_fit_eligible"":false,""reasoning_effort"":""max"",""aci_exclusion_reason"":""Published means lack per-run outcomes or sampling uncertainty; nominal task count is not an evaluated-run denominator.""}",b26b3e400e039e28bd730ec0dd242969da480ec3bd1a34e30a5008a632ed0097,b5a6a8ab4a4b0117877778037bc4c872d59e3a24814b13a6bdde00d22a11f023,OSWorld-V2,common,max,osworld-v2-computer-use,2026-09-05,https://osworld-v2.xlang.ai/static/data/leaderboard/official-results.json,"{""notes"":""Binary completion only; partial-credit score is metadata. No repeated-run count or uncertainty published. Defaults resolve omitted release/scope explicitly."",""coverage_audit"":""2026-09-05-agentic"",""source_capture"":""osworld-results.json"",""source_lineage"":{""copied"":false,""match_policy"":""unique compatible origin observation"",""origin_source_id"":""osworld""},""audit_candidate_id"":""agentic-6794de131dd57bd53c92"",""nominal_task_count"":108,""reported_partial_score"":68.31,""reported_grader_version"":""v2026.08.08"",""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""evidence_urls"":[""https://osworld-v2.xlang.ai/static/data/leaderboard/official-results.json""],""applied_fields"":[],""protocol_status"":""missing""},""estimated_evaluation_cost_usd"":null}",,2026-09-05T17:44:52.717Z
ea1a0b50-6fec-4479-a250-b72471f2d6aa,gpt-5.2,livebench-2026,livebench,74.634964,percent,independent,,,,2026-06-25,,2026-06-25:gpt-5.2-2025-12-11-high,livebench:2026-06-25:gpt-5.2-2025-12-11-high,independent,livebench,,false,true,,,,,,,,,,,"{""aci_fit_eligible"":false,""reasoning_effort"":""high"",""source_model_configuration"":""gpt-5.2-2025-12-11-high""}",8c40edeb2f81aefca7b38597411057ce602b2342273c271caffbef5e9c649409,287ca464e6734b41ae995d797aa063cd4ecbc78d8c1cd3f82e1be0f250d336cf,LiveBench category-specific evaluation,common,high,,2026-09-05,https://livebench.ai/table_2026_06_25.csv,"{""table_sha256"":""f23992acb9c01d4904b8cb2c5714a0e9ab15694e9ee0cdc4a2b525167033ba87"",""observed_only"":true,""categories_url"":""https://livebench.ai/categories_2026_06_25.json"",""category_means"":{""IF"":61.77074999999999,""Coding"":76.0715,""Language"":79.809,""Reasoning"":83.2115,""Mathematics"":93.166,""Data Analysis"":78.16333333333334,""Agentic Coding"":50.25266666666667},""coverage_audit"":""2026-09-05-livebench"",""source_lineage"":{""copied"":false,""match_policy"":""unique compatible origin observation"",""origin_source_id"":""livebench""},""displayed_score"":74.63,""source_model_id"":""gpt-5.2-2025-12-11-high"",""exclusion_reason"":""Heterogeneous category composite with partial-credit metrics and different tool policies. No binary denominator, repeat count, or sampling uncertainty inferred."",""score_definition"":""Arithmetic mean of seven category means (or the exact categories in the pinned release); each category is the unweighted mean of its subtasks."",""categories_sha256"":""dad300ad18655b69db720e1b88fc5a5eac06c5b2f0e52c2bf50f10ff057674f3"",""audit_candidate_id"":""livebench-2342c3d102607c542685"",""source_subtask_scores"":{""typos"":82,""python"":55,""spatial"":96,""olympiad"":88.566,""simplify"":54.083,""AMPS_Hard"":97,""math_comp"":95.098,""summarize"":63.2,""tablejoin"":45.577,""javascript"":59.091,""paraphrase"":64.1,""typescript"":36.667,""connections"":99,""zebra_puzzle"":84,""tablereformat"":100,""theory_of_mind"":78.846,""code_completion"":76.087,""code_generation"":76.056,""story_generation"":65.7,""plot_unscrambling"":58.427,""consecutive_events"":88.913,""integrals_with_game"":92,""logic_with_navigation"":74},""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""evidence_urls"":[""https://livebench.ai/table_2026_06_25.csv""],""applied_fields"":[],""protocol_status"":""missing""}}",,2026-09-05T17:44:52.717Z
de0eb158-8f30-441f-9d7f-3492269fe1f3,gpt-5.6-sol,tau3-bench-banking,taubench,46.907215,percent,independent,,97,,tau3,tau2-bench 1.0.1,gpt-5-6-sol_sierra_2026-08-04,taubench:gpt-5-6-sol_sierra_2026-08-04:banking_knowledge:grader-1.0.1,independent,taubench,,false,true,,4,,,,,4,,,,"{""domain"":""banking_knowledge"",""user_simulator"":""gpt-5.2"",""reasoning_effort"":""xhigh"",""retrieval_config"":""alltools""}",c9284b3d58859644de037c4bac28d9a5acebee8265a3260d7bc2f0c25907bf4a,52448a0364604f383a5e32472711203650bddad85a67b76bbe7d2efbbdfa4a6d,tau2-bench,common,xhigh,banking-tools-and-retrieval,2026-09-05,https://sierra-tau-bench-public.s3.us-west-2.amazonaws.com/submissions/gpt-5-6-sol_sierra_2026-08-04/submission.json,"{""notes"":""Full source submission precision. July-15 2026 grader v1.0.1 fixes regrade older runs; earlier grader results not equivalent. Retrieval protocols retained independently."",""pass_2"":37.28522336769759,""pass_3"":31.958762886597935,""pass_4"":27.835051546391753,""coverage_audit"":""2026-09-05-agentic"",""source_capture"":""tau-gpt-5-6-sol_sierra_2026-08-04.json"",""source_lineage"":{""copied"":false,""match_policy"":""unique compatible origin observation"",""origin_source_id"":""taubench""},""source_submission"":""gpt-5-6-sol_sierra_2026-08-04"",""audit_candidate_id"":""agentic-248459d0d2989b6f0073"",""source_methodology"":{""notes"":""Banking_knowledge evaluation with AllTools retrieval, GPT-5.2 low-reasoning user simulation, four trials, and seed 300."",""verification"":{""modified_prompts"":false,""omitted_questions"":false},""user_simulator"":""gpt-5.2"",""evaluation_date"":""2026-07-22"",""tau2_bench_version"":""1.0.1""},""source_evaluation_date"":""2026-07-22"",""source_submission_date"":""2026-08-04"",""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""evidence_urls"":[""https://sierra-tau-bench-public.s3.us-west-2.amazonaws.com/submissions/gpt-5-6-sol_sierra_2026-08-04/submission.json""],""applied_fields"":[],""protocol_status"":""missing""}}",,2026-09-05T17:44:52.717Z
c6a72009-fa73-4612-a05f-dafec5368b91,gpt-5.1,arc-agi-2-semi-private,arcprize,0.4,percent,independent,,120,,,,,,,,,false,true,,,,,,,,,,,"{""reasoning_effort"":""none"",""cost_per_task_usd"":0.058}",b177d86018a39071bfa854e16c129a15ffc20a64302fadbcb45657b0e4d4937d,abd48a6927c561c273733287a921b60cd71a9af455c69ebe7bb3b2f8002b1376,,,none,,2026-09-04,https://arcprize.org/leaderboard,"{""notes"":""Score and cost per task as shown on the ARC Prize Verified leaderboard; page has no per-row date, so retrieval date used."",""manual_file"":""manual/results/arcprize.yaml"",""sample_only"":false,""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""evidence_urls"":[""https://arcprize.org/leaderboard""],""applied_fields"":[],""protocol_status"":""missing""}}",,2026-09-04T18:50:05.813Z
b765f93b-f7f9-454f-833a-76bb7fe67d81,gemini-3.7-flash,gdp-pdf-google-202609,vendor-model-cards,34,percent,self_report,,,,google-2026-09,,,vendor:06763fa93274ae273aff,self_report,vendor-model-cards,,false,true,,,,,,,,,,,"{""statistic"":""all_pass_rate"",""aci_fit_eligible"":false,""aci_exclusion_reason"":""Display evidence pending registration/review of this exact benchmark condition; do not alias to a different version, metric, subset, or harness.""}",c0befea2e6f7716beeb545775823e88d9652885894ef750ee23fb727359e1f17,5d4204c239d4398f564dc46c4e7301e26ebcb8d1f218d76621eaca007a275b1c,,,,,2026-09-05,https://deepmind.google/models/model-cards/gemini-3-8-flash/,"{""audit_batch"":""coverage-swarm-2026-09-05-vendors"",""audit_status"":""verified_primary_source"",""retrieved_on"":""2026-09-05"",""source_notes"":""Google says GDP.PDF results for all models are self-computed."",""source_capture"":""work/coverage-swarm/vendors/captures/gemini-3.8-flash-scorecard.png"",""uncertainty_note"":""Source rounded aggregate; no fabricated trial count, standard error, or integer correct count."",""integration_class"":""new_exact_condition"",""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""evidence_urls"":[""https://deepmind.google/models/model-cards/gemini-3-8-flash/""],""applied_fields"":[],""protocol_status"":""missing"",""exclusion_reason"":""No source protocol or exact row rule resolves this observation's effort tier.""}}",,2026-09-05T17:44:52.717Z
5077fdf6-63ef-4752-a90a-1923638dffe5,qwen3.5-397b-a17b,tau3-bench-banking,taubench,9.79,percent,independent,,97,,tau3,tau2-bench 1.0.1,qwen3.5-397b-a17b-think_sierra_2026-03-02,taubench:qwen3.5-397b-a17b-think_sierra_2026-03-02:banking_knowledge:grader-1.0.1,independent,taubench,,false,true,,4,,,,,4,,,,"{""domain"":""banking_knowledge"",""user_simulator"":""gpt-5.2"",""reasoning_effort"":""enabled"",""retrieval_config"":""text-emb-3-large""}",0f905b976071e5e59f737657990272a04725458a18c3a76295744342d10c825d,fa455a57fa0ca103faa125563c9aeec368f19388b116b230457cb73afe3a3830,tau2-bench,common,enabled,banking-tools-and-retrieval,2026-09-05,https://sierra-tau-bench-public.s3.us-west-2.amazonaws.com/submissions/qwen3.5-397b-a17b-think_sierra_2026-03-02/submission.json,"{""notes"":""Full source submission precision. July-15 2026 grader v1.0.1 fixes regrade older runs; earlier grader results not equivalent. Retrieval protocols retained independently."",""pass_2"":6.36,""pass_3"":5.41,""pass_4"":5.15,""coverage_audit"":""2026-09-05-agentic"",""source_capture"":""tau-qwen3.5-397b-a17b-think_sierra_2026-03-02.json"",""source_lineage"":{""copied"":false,""match_policy"":""unique compatible origin observation"",""origin_source_id"":""taubench""},""source_submission"":""qwen3.5-397b-a17b-think_sierra_2026-03-02"",""audit_candidate_id"":""agentic-b23db1b0330c6b59e971"",""source_methodology"":{""notes"":""Evaluated using Qwen3.5-397B-A17B with thinking enabled. User simulator: gpt-5.2 with reasoning_effort: low. 4 trials. Seed: 300. Temperature: 1.0, top_p: 0.95. Self-hosted via vLLM. banking_knowledge re-graded under tau2-bench v1.0.1 grading fixes on 2026-07-15 (extra-read logging #329, numeric-argument normalization #397, T077-T086 gold trajectories #402); scores prior to v1.0.1 are not comparable."",""verification"":{""details"":""Standard tau-bench scaffold. Clean 4-trial runs with no infrastructure errors across all domains."",""modified_prompts"":false,""omitted_questions"":false},""user_simulator"":""gpt-5.2"",""evaluation_date"":""2026-02-27"",""tau2_bench_version"":""1.0.1""},""source_evaluation_date"":""2026-02-27"",""source_submission_date"":""2026-03-02"",""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""evidence_urls"":[""https://sierra-tau-bench-public.s3.us-west-2.amazonaws.com/submissions/qwen3.5-397b-a17b-think_sierra_2026-03-02/submission.json""],""applied_fields"":[],""protocol_status"":""missing""}}",,2026-09-05T17:44:52.717Z
01651bc4-684c-4da0-a133-b4e9818d581f,claude-fable-5.1,simpleqa-verified-epoch-anti-abstention-v1-2-0,epoch,0.708,fraction,independent,0.014385511,,,epoch-anti-abstention-1.2.0,,ExyL3GN8s34tizrXV3VmS3,epoch:ExyL3GN8s34tizrXV3VmS3,independent,epoch,epoch-simpleqa-anti-abstention-v1-2-0,false,true,,,,se,0.014385511563477433,item,,,,,"{""statistic"":""mean_accuracy"",""task_version"":""1.2.0"",""prompt_protocol"":""native task revision; current source label anti-abstention"",""reasoning_effort"":""max"",""epoch_model_version"":""claude-fable-5-1_max""}",5914512ab1345e718fcd0fd9117d69b03349cbdfba4206a40977cf3e087b04c6,317ccb5b2cdbb04896d34b9d7179691a3b1d18cab32ab1d4bcfa61451f1b62dd,Epoch SimpleQA Verified native accuracy scorer,common,max,none,2026-09-01,https://epoch.ai/data/benchmarks.csv,"{""selection"":""latest completed run per exact configuration and native task revision"",""log_viewer"":null,""started_at"":""2026-09-01T18:31:59.000Z"",""epoch_run_id"":""ExyL3GN8s34tizrXV3VmS3"",""source_capture"":{""file"":""captures/epoch-benchmarks.csv"",""sha256"":""9b6b2c7b4b1fb743cacf3358c782b2b5359c04821dcbd12ed7c5d159c5cd1712"",""retrieved_at"":""2026-09-05T10:58:37.121Z""},""source_lineage"":{""copied"":false,""match_policy"":""unique compatible origin observation"",""origin_source_id"":""epoch""},""metric_identity"":""fraction correct; incorrect and abstained responses score zero, not Google F1"",""source_model_name"":""Claude Fable 5.1 (max)"",""original_task_name"":""SimpleQA Verified (anti-abstention)"",""nominal_dataset_size"":1000,""reported_standard_error"":0.014385511563477433,""native_model_release_date"":""2026-09-01"",""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""protocol_id"":""epoch-simpleqa-anti-abstention-v1-2-0"",""evidence_urls"":[""https://epoch.ai/data/benchmarks.csv"",""https://epoch.ai/benchmarks/simple-qa-verified""],""applied_fields"":[],""protocol_status"":""applied""},""exact_historical_prompt_verified"":false,""evaluated_question_count_provided"":false,""exact_production_judge_revision_verified"":false}",,2026-09-05T17:44:52.717Z
215fed4a-2661-4b08-a8c8-268cf389e765,gpt-5.6-terra,simpleqa-verified-epoch-anti-abstention-v1-0-0,epoch,0.432,fraction,independent,0.01567232,,,epoch-anti-abstention-1.0.0,,DienatPbgfgn3EzM7Gvzxr,epoch:DienatPbgfgn3EzM7Gvzxr,independent,epoch,epoch-simpleqa-anti-abstention-v1-0-0,false,true,,,,se,0.015672320237336324,item,,,,,"{""statistic"":""mean_accuracy"",""task_version"":""1.0.0"",""prompt_protocol"":""native task revision; current source label anti-abstention"",""reasoning_effort"":""max"",""epoch_model_version"":""gpt-5.6-terra_max""}",f3d76e5a91fb317634b22a01492a1267f7714dbf44c25c9d3c301de696cd51be,41d1106093e20274114c98fba1a7c22787d9238dbf48921fdada0d4a3e4137e1,Epoch SimpleQA Verified native accuracy scorer,common,max,none,2026-08-10,https://epoch.ai/data/benchmarks.csv,"{""selection"":""latest completed run per exact configuration and native task revision"",""log_viewer"":null,""started_at"":""2026-08-10T23:44:21.000Z"",""epoch_run_id"":""DienatPbgfgn3EzM7Gvzxr"",""source_capture"":{""file"":""captures/epoch-benchmarks.csv"",""sha256"":""9b6b2c7b4b1fb743cacf3358c782b2b5359c04821dcbd12ed7c5d159c5cd1712"",""retrieved_at"":""2026-09-05T10:58:37.121Z""},""source_lineage"":{""copied"":false,""match_policy"":""unique compatible origin observation"",""origin_source_id"":""epoch""},""metric_identity"":""fraction correct; incorrect and abstained responses score zero, not Google F1"",""source_model_name"":""GPT-5.6 Terra (max)"",""original_task_name"":""SimpleQA Verified (anti-abstention)"",""nominal_dataset_size"":1000,""reported_standard_error"":0.015672320237336324,""native_model_release_date"":""2026-07-09"",""aci12_observation_annotation"":{""status"":""metadata_incomplete"",""version"":""aci-1.2.1"",""protocol_id"":""epoch-simpleqa-anti-abstention-v1-0-0"",""evidence_urls"":[""https://epoch.ai/data/benchmarks.csv"",""https://epoch.ai/benchmarks/simple-qa-verified""],""applied_fields"":[],""protocol_status"":""applied""},""exact_historical_prompt_verified"":false,""evaluated_question_count_provided"":false,""exact_production_judge_revision_verified"":false}",,2026-09-05T17:44:52.717Z
